Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%)
LED Bulb,230,8.94,4.55,6.39
Television,230,101.13,4.87,4.44
Washing Machine,230,581.68,1.89,3.72
Microwave Oven,230,852.07,0.2,2.2
Geyser,230,2864.08,0.79,9.29
Laptop/Computer,230,299.51,4.82,2.31
Iron,230,1987.54,0.36,2.58
Fan,230,70.72,6.1,16.07
Air Conditioner,230,1968.59,5.14,48.54
Refrigerator,230,451.15,24.0,9.56
LED Bulb,230,11.26,4.83,7.82
Television,230,101.51,3.69,3.62
Washing Machine,230,1362.04,2.82,3.64
Microwave Oven,230,805.16,0.22,2.59
Geyser,230,2862.06,0.73,8.65
Laptop/Computer,230,71.3,5.85,2.45
Iron,230,1412.85,0.21,2.59
Fan,230,70.55,6.51,21.43
Air Conditioner,230,1834.79,4.86,49.88
Refrigerator,230,264.91,24.0,8.02
LED Bulb,230,9.14,4.66,5.48
Television,230,137.51,4.04,3.9
Washing Machine,230,761.39,1.61,4.79
Microwave Oven,230,941.26,0.2,2.05
Geyser,230,2677.68,0.52,9.88
Laptop/Computer,230,236.5,5.11,2.72
Iron,230,1068.07,0.24,2.72
Fan,230,128.08,11.5,23.84
Air Conditioner,230,1854.1,4.09,49.56
Refrigerator,230,1143.17,29.39,9.86
LED Bulb,230,9.47,4.28,7.68
Television,230,183.95,6.89,3.5
Washing Machine,230,800.12,1.1,4.12
Microwave Oven,230,1153.35,0.16,2.51
Geyser,230,2687.8,0.56,9.36
Laptop/Computer,230,82.2,4.04,2.88
Iron,230,1197.0,0.16,2.22
Fan,230,71.76,7.32,24.31
Air Conditioner,230,1573.49,4.99,46.29
Refrigerator,230,425.36,24.0,9.51
LED Bulb,230,10.17,5.72,9.73
Television,230,94.34,3.68,4.28
Washing Machine,230,667.86,1.04,3.51
Microwave Oven,230,1589.46,0.36,2.31
Geyser,230,4064.24,1.26,9.19
Laptop/Computer,230,306.67,4.8,2.49
Iron,230,1419.87,0.21,2.9
Fan,230,83.27,7.29,20.65
Air Conditioner,230,1802.98,5.82,48.33
Refrigerator,230,625.06,24.0,9.56
LED Bulb,230,7.53,4.33,5.42
Television,230,96.85,3.1,3.98
Washing Machine,230,768.27,1.17,4.2
Microwave Oven,230,1029.9,0.19,2.5
Geyser,230,2990.47,0.91,8.5
Laptop/Computer,230,168.26,4.84,2.7
Iron,230,2164.17,0.31,2.04
Fan,230,78.58,6.33,19.47
Air Conditioner,230,1522.12,4.41,48.54
Refrigerator,230,1123.9,31.83,9.08
LED Bulb,230,9.51,5.72,7.06
Television,230,114.97,3.24,4.67
Washing Machine,230,1338.03,2.91,3.04
Microwave Oven,230,1130.07,0.2,2.39
Geyser,230,2495.93,0.75,8.03
Laptop/Computer,230,166.4,5.68,2.59
Iron,230,1207.42,0.21,2.84
Fan,230,119.72,10.06,21.02
Air Conditioner,230,1821.02,4.88,41.96
Refrigerator,230,1047.22,33.55,9.1
LED Bulb,230,8.45,5.14,9.09
Television,230,120.03,3.56,3.59
Washing Machine,230,968.59,1.17,3.11
Microwave Oven,230,935.94,0.18,2.05
Geyser,230,2674.54,0.96,8.46
Laptop/Computer,230,329.98,5.42,2.66
Iron,230,1037.67,0.18,2.4
Fan,230,86.29,7.96,23.34
Air Conditioner,230,1824.95,4.83,40.97
Refrigerator,230,719.94,24.0,9.29
LED Bulb,230,9.56,5.55,6.9
Television,230,218.83,6.4,3.27
Washing Machine,230,813.62,1.19,4.2
Microwave Oven,230,1043.23,0.24,2.92
Geyser,230,2338.0,0.72,9.53
Laptop/Computer,230,257.53,4.48,2.52
Iron,230,1070.01,0.23,2.7
Fan,230,84.74,6.63,19.96
Air Conditioner,230,1594.08,4.5,41.34
Refrigerator,230,384.72,24.0,8.62
LED Bulb,230,15.87,8.35,9.62
Television,230,51.42,4.17,4.94
Washing Machine,230,990.93,1.62,3.21
Microwave Oven,230,1195.73,0.23,2.84
Geyser,230,4482.29,1.33,9.05
Laptop/Computer,230,56.86,4.26,2.68
Iron,230,1426.94,0.21,2.87
Fan,230,85.97,7.33,19.34
Air Conditioner,230,1701.88,5.16,42.94
Refrigerator,230,522.73,24.0,8.48
LED Bulb,230,10.15,5.62,5.79
Television,230,146.01,3.43,3.91
Washing Machine,230,541.36,1.66,4.79
Microwave Oven,230,1120.31,0.21,2.6
Geyser,230,4045.27,1.33,9.78
Laptop/Computer,230,187.36,4.49,2.81
Iron,230,1177.75,0.23,2.3
Fan,230,74.99,6.74,24.63
Air Conditioner,230,1868.07,5.6,48.82
Refrigerator,230,1085.47,33.03,8.95
LED Bulb,230,9.73,5.39,9.15
Television,230,66.3,4.31,3.89
Washing Machine,230,858.27,1.09,3.09
Microwave Oven,230,845.44,0.25,2.22
Geyser,230,4372.99,1.42,9.72
Laptop/Computer,230,189.21,5.27,2.01
Iron,230,1045.62,0.24,2.91
Fan,230,75.85,6.98,18.43
Air Conditioner,230,2417.93,7.61,48.84
Refrigerator,230,319.38,24.0,9.37
LED Bulb,230,11.02,5.48,7.84
Television,230,191.0,7.21,4.19
Washing Machine,230,602.55,1.61,4.61
Microwave Oven,230,1662.55,0.35,2.3
Geyser,230,2467.1,0.68,8.55
Laptop/Computer,230,303.02,4.64,2.6
Iron,230,1253.23,0.18,2.66
Fan,230,88.55,7.67,18.82
Air Conditioner,230,1567.14,5.0,48.17
Refrigerator,230,601.36,24.0,9.5
LED Bulb,230,7.02,4.2,8.78
Television,230,134.39,4.48,3.72
Washing Machine,230,634.64,1.14,3.68
Microwave Oven,230,1455.75,0.3,2.33
Geyser,230,2839.83,0.82,9.24
Laptop/Computer,230,399.55,5.82,2.81
Iron,230,1053.96,0.21,2.88
Fan,230,71.96,6.01,17.3
Air Conditioner,230,1797.79,4.65,41.68
Refrigerator,230,1142.38,35.51,9.24
LED Bulb,230,7.95,4.07,6.24
Television,230,196.05,6.3,4.17
Washing Machine,230,615.44,1.16,3.21
Microwave Oven,230,847.49,0.23,2.35
Geyser,230,2356.76,0.52,9.0
Laptop/Computer,230,286.97,5.56,2.21
Iron,230,1180.4,0.18,2.08
Fan,230,75.29,6.83,18.4
Air Conditioner,230,1580.15,4.65,44.1
Refrigerator,230,386.9,24.0,8.63
LED Bulb,230,8.01,5.16,8.75
Television,230,108.51,3.69,4.44
Washing Machine,230,814.09,1.0,3.19
Microwave Oven,230,899.72,0.19,2.45
Geyser,230,2803.89,0.99,9.66
Laptop/Computer,230,355.75,4.13,2.12
Iron,230,1244.47,0.16,2.71
Fan,230,81.43,7.14,15.56
Air Conditioner,230,1973.93,4.43,46.77
Refrigerator,230,785.48,24.0,8.61
LED Bulb,230,7.48,5.91,7.38
Television,230,218.54,6.15,4.99
Washing Machine,230,659.02,1.75,3.99
Microwave Oven,230,915.95,0.2,2.09
Geyser,230,2590.8,0.8,8.57
Laptop/Computer,230,526.57,7.92,2.81
Iron,230,1304.89,0.21,2.9
Fan,230,80.37,6.78,20.47
Air Conditioner,230,1674.15,5.78,45.37
Refrigerator,230,565.81,24.0,8.17
LED Bulb,230,10.04,4.63,7.13
Television,230,103.67,3.49,3.94
Washing Machine,230,752.75,1.81,4.19
Microwave Oven,230,1679.54,0.32,2.81
Geyser,230,2900.64,0.86,8.1
Laptop/Computer,230,378.65,4.32,2.67
Iron,230,1413.04,0.24,2.5
Fan,230,88.16,6.38,23.04
Air Conditioner,230,2548.46,8.62,43.52
Refrigerator,230,187.22,24.0,8.36
LED Bulb,230,8.81,4.66,5.16
Television,230,116.93,4.13,4.86
Washing Machine,230,1452.42,2.54,4.96
Microwave Oven,230,1194.28,0.21,2.24
Geyser,230,2375.5,0.56,8.68
Laptop/Computer,230,545.22,8.03,2.96
Iron,230,1204.48,0.17,2.82
Fan,230,83.05,6.33,16.13
Air Conditioner,230,1957.02,4.51,48.15
Refrigerator,230,587.72,24.0,8.18
LED Bulb,230,9.37,5.11,9.42
Television,230,112.43,3.31,4.34
Washing Machine,230,721.5,1.14,3.7
Microwave Oven,230,832.07,0.24,2.62
Geyser,230,2352.23,0.59,8.26
Laptop/Computer,230,362.25,5.76,2.53
Iron,230,1092.53,0.22,2.12
Fan,230,72.3,6.0,23.04
Air Conditioner,230,1523.41,4.04,44.41
Refrigerator,230,465.44,24.0,9.21
LED Bulb,230,10.78,4.79,8.58
Television,230,134.19,4.69,3.21
Washing Machine,230,538.28,1.86,4.47
Microwave Oven,230,928.63,0.21,2.7
Geyser,230,2880.01,0.59,9.68
Laptop/Computer,230,151.89,4.6,2.27
Iron,230,1102.39,0.21,2.17
Fan,230,74.38,6.27,22.08
Air Conditioner,230,1879.61,5.26,41.83
Refrigerator,230,689.02,24.0,9.37
LED Bulb,230,8.95,5.57,8.73
Television,230,149.94,3.12,3.47
Washing Machine,230,914.78,1.22,3.41
Microwave Oven,230,1074.06,0.18,2.04
Geyser,230,3862.81,1.39,9.49
Laptop/Computer,230,199.15,4.05,2.45
Iron,230,1418.89,0.17,2.04
Fan,230,83.01,7.03,23.66
Air Conditioner,230,1751.85,4.86,46.26
Refrigerator,230,523.24,24.0,8.54
LED Bulb,230,7.85,5.14,8.5
Television,230,114.82,3.05,3.0
Washing Machine,230,951.43,1.47,3.78
Microwave Oven,230,1074.25,0.22,2.74
Geyser,230,2352.57,0.63,9.53
Laptop/Computer,230,298.47,5.3,2.11
Iron,230,1146.21,0.17,2.2
Fan,230,77.76,7.12,16.24
Air Conditioner,230,1998.51,4.52,41.8
Refrigerator,230,1184.01,33.86,8.82
LED Bulb,230,10.7,4.94,5.47
Television,230,57.47,4.5,4.73
Washing Machine,230,608.76,1.11,4.58
Microwave Oven,230,1086.91,0.2,2.56
Geyser,230,4052.35,1.46,9.14
Laptop/Computer,230,387.94,4.58,2.09
Iron,230,1137.86,0.17,2.7
Fan,230,86.27,6.99,17.05
Air Conditioner,230,1814.32,4.96,48.44
Refrigerator,230,755.83,24.0,8.97
LED Bulb,230,8.91,4.4,9.85
Television,230,83.22,3.96,3.58
Washing Machine,230,963.26,1.4,4.4
Microwave Oven,230,1192.6,0.16,2.38
Geyser,230,2047.78,0.86,8.67
Laptop/Computer,230,67.96,4.72,2.06
Iron,230,1200.75,0.17,2.01
Fan,230,70.92,7.73,24.35
Air Conditioner,230,2522.42,7.98,46.28
Refrigerator,230,313.38,24.0,9.76
LED Bulb,230,9.86,4.82,5.03
Television,230,211.09,6.53,3.16
Washing Machine,230,760.77,1.3,4.46
Microwave Oven,230,846.06,0.25,2.19
Geyser,230,2239.18,0.76,8.7
Laptop/Computer,230,95.83,4.9,2.76
Iron,230,1062.49,0.2,2.52
Fan,230,84.81,7.4,18.96
Air Conditioner,230,1980.68,4.47,44.03
Refrigerator,230,603.6,24.0,9.88
LED Bulb,230,9.79,4.37,9.76
Television,230,75.16,4.66,4.56
Washing Machine,230,541.66,1.52,3.25
Microwave Oven,230,882.63,0.2,2.02
Geyser,230,3682.51,1.24,9.25
Laptop/Computer,230,324.56,5.01,2.96
Iron,230,2109.43,0.35,2.99
Fan,230,70.15,7.35,20.6
Air Conditioner,230,1836.32,5.49,48.5
Refrigerator,230,331.4,24.0,8.58
LED Bulb,230,11.81,4.11,7.97
Television,230,124.13,4.73,4.27
Washing Machine,230,1362.79,2.5,3.49
Microwave Oven,230,1137.7,0.19,2.48
Geyser,230,2135.79,0.74,9.08
Laptop/Computer,230,371.15,4.41,2.63
Iron,230,1338.55,0.17,2.98
Fan,230,86.92,7.69,20.41
Air Conditioner,230,1579.51,5.59,48.15
Refrigerator,230,734.56,24.0,9.37
LED Bulb,230,9.27,5.49,5.65
Television,230,126.84,3.39,4.19
Washing Machine,230,625.04,1.8,3.07
Microwave Oven,230,1691.2,0.33,2.45
Geyser,230,2805.92,0.74,8.7
Laptop/Computer,230,266.65,5.14,2.19
Iron,230,1311.35,0.16,2.51
Fan,230,72.61,6.38,15.9
Air Conditioner,230,1953.51,5.93,41.16
Refrigerator,230,329.31,24.0,9.3
LED Bulb,230,15.49,8.28,8.11
Television,230,84.53,3.2,4.07
Washing Machine,230,550.89,1.69,3.94
Microwave Oven,230,807.66,0.21,2.5
Geyser,230,2730.25,0.97,8.83
Laptop/Computer,230,127.57,4.69,2.55
Iron,230,1394.92,0.17,2.5
Fan,230,85.04,7.23,23.6
Air Conditioner,230,1625.74,5.9,47.69
Refrigerator,230,1021.21,29.7,8.79
LED Bulb,230,9.12,4.88,7.47
Television,230,56.44,3.11,4.83
Washing Machine,230,740.9,1.06,4.97
Microwave Oven,230,949.48,0.19,2.53
Geyser,230,2223.29,0.82,8.69
Laptop/Computer,230,195.65,5.72,2.68
Iron,230,1244.36,0.2,2.83
Fan,230,111.9,11.18,16.11
Air Conditioner,230,2633.56,8.21,44.46
Refrigerator,230,787.34,24.0,8.28
LED Bulb,230,7.15,5.04,5.67
Television,230,72.35,4.04,4.45
Washing Machine,230,1442.98,2.88,4.41
Microwave Oven,230,1785.09,0.34,2.31
Geyser,230,2105.55,0.6,9.81
Laptop/Computer,230,204.7,4.03,2.88
Iron,230,1034.79,0.19,2.63
Fan,230,132.67,9.83,19.19
Air Conditioner,230,2710.53,7.6,44.42
Refrigerator,230,204.1,24.0,8.22
LED Bulb,230,8.33,5.71,5.13
Television,230,55.51,3.9,3.1
Washing Machine,230,650.96,1.61,4.04
Microwave Oven,230,1019.65,0.2,2.08
Geyser,230,2064.68,0.57,9.86
Laptop/Computer,230,397.77,4.15,2.7
Iron,230,1287.64,0.21,2.66
Fan,230,75.17,6.72,15.8
Air Conditioner,230,2798.82,8.73,43.39
Refrigerator,230,1143.9,31.9,9.43
LED Bulb,230,17.61,8.72,8.7
Television,230,113.94,3.76,4.67
Washing Machine,230,788.7,1.44,3.2
Microwave Oven,230,1012.89,0.18,2.02
Geyser,230,4069.78,1.27,8.94
Laptop/Computer,230,106.13,4.48,2.54
Iron,230,1416.95,0.16,2.69
Fan,230,83.46,6.49,22.84
Air Conditioner,230,1501.44,5.59,48.4
Refrigerator,230,567.3,24.0,9.21
LED Bulb,230,10.15,5.15,5.04
Television,230,55.76,4.94,4.17
Washing Machine,230,588.56,1.4,4.31
Microwave Oven,230,1095.69,0.22,2.41
Geyser,230,2826.81,0.54,9.66
Laptop/Computer,230,337.5,5.79,2.36
Iron,230,1146.26,0.21,2.08
Fan,230,78.91,6.31,22.44
Air Conditioner,230,1663.81,5.18,49.18
Refrigerator,230,210.92,24.0,8.28
LED Bulb,230,11.86,5.08,5.54
Television,230,56.48,3.48,4.01
Washing Machine,230,778.75,1.43,3.19
Microwave Oven,230,1034.45,0.17,2.3
Geyser,230,2217.69,0.74,8.7
Laptop/Computer,230,276.63,4.1,2.97
Iron,230,1070.57,0.19,2.44
Fan,230,84.98,6.92,23.79
Air Conditioner,230,1633.4,4.15,47.41
Refrigerator,230,679.96,24.0,8.65
LED Bulb,230,10.37,4.39,7.02
Television,230,83.86,4.8,3.63
Washing Machine,230,895.63,1.63,3.73
Microwave Oven,230,835.92,0.2,2.3
Geyser,230,2326.78,0.76,8.43
Laptop/Computer,230,504.4,8.5,2.11
Iron,230,1047.41,0.18,2.54
Fan,230,86.6,6.51,16.79
Air Conditioner,230,1967.63,5.42,47.0
Refrigerator,230,302.41,24.0,9.21
LED Bulb,230,9.85,4.34,8.97
Television,230,53.14,4.34,4.52
Washing Machine,230,930.18,1.98,4.81
Microwave Oven,230,1027.0,0.18,2.27
Geyser,230,2895.02,0.56,8.91
Laptop/Computer,230,540.18,7.97,2.77
Iron,230,1139.62,0.22,2.45
Fan,230,71.45,6.06,15.29
Air Conditioner,230,2445.11,8.3,46.61
Refrigerator,230,381.78,24.0,9.51
LED Bulb,230,10.5,4.39,7.15
Television,230,78.65,3.8,4.11
Washing Machine,230,711.58,1.73,4.71
Microwave Oven,230,990.45,0.21,2.31
Geyser,230,3844.67,1.3,8.02
Laptop/Computer,230,382.91,4.58,2.45
Iron,230,1125.25,0.21,2.1
Fan,230,87.53,6.13,23.44
Air Conditioner,230,1714.75,4.66,40.79
Refrigerator,230,520.17,24.0,9.88
LED Bulb,230,10.83,5.1,6.81
Television,230,147.91,4.14,3.69
Washing Machine,230,943.17,1.41,3.68
Microwave Oven,230,932.13,0.23,2.32
Geyser,230,2594.88,0.84,9.53
Laptop/Computer,230,303.81,5.32,2.12
Iron,230,1827.78,0.32,2.44
Fan,230,89.88,6.48,19.17
Air Conditioner,230,1559.67,4.68,41.94
Refrigerator,230,197.13,24.0,8.12
LED Bulb,230,7.15,5.3,9.2
Television,230,67.56,3.71,3.38
Washing Machine,230,637.33,1.77,3.29
Microwave Oven,230,814.03,0.23,2.9
Geyser,230,2057.78,0.96,9.06
Laptop/Computer,230,103.16,5.43,2.25
Iron,230,1225.92,0.25,2.43
Fan,230,74.84,6.63,24.16
Air Conditioner,230,1884.97,5.68,40.78
Refrigerator,230,259.96,24.0,9.83
LED Bulb,230,8.14,5.76,8.15
Television,230,138.59,3.02,4.69
Washing Machine,230,859.15,1.68,4.58
Microwave Oven,230,1081.06,0.2,2.41
Geyser,230,2185.49,0.71,8.21
Laptop/Computer,230,109.46,5.47,2.17
Iron,230,1489.67,0.17,2.34
Fan,230,78.71,6.44,15.72
Air Conditioner,230,1857.99,5.7,47.75
Refrigerator,230,507.12,24.0,8.98
LED Bulb,230,8.63,4.36,8.3
Television,230,131.7,3.51,4.3
Washing Machine,230,705.26,1.67,4.01
Microwave Oven,230,1108.22,0.21,2.5
Geyser,230,2329.79,0.53,8.05
Laptop/Computer,230,122.16,5.91,2.3
Iron,230,1215.25,0.23,2.11
Fan,230,87.45,6.94,24.71
Air Conditioner,230,1537.52,4.69,41.21
Refrigerator,230,742.44,24.0,8.18
LED Bulb,230,10.26,4.97,6.15
Television,230,95.92,4.89,4.88
Washing Machine,230,994.37,1.32,4.34
Microwave Oven,230,1016.24,0.24,2.34
Geyser,230,2602.33,0.78,8.59
Laptop/Computer,230,234.35,4.21,2.84
Iron,230,1216.0,0.21,2.6
Fan,230,87.05,6.41,19.67
Air Conditioner,230,1845.48,5.54,40.44
Refrigerator,230,148.95,24.0,9.31
LED Bulb,230,8.27,5.81,8.19
Television,230,74.81,3.41,4.36
Washing Machine,230,928.22,1.2,3.6
Microwave Oven,230,1016.86,0.2,2.57
Geyser,230,2884.49,0.55,9.93
Laptop/Computer,230,379.36,5.64,2.9
Iron,230,1187.36,0.23,2.95
Fan,230,87.25,6.73,18.3
Air Conditioner,230,1562.17,4.1,40.47
Refrigerator,230,150.35,24.0,8.43
LED Bulb,230,10.76,5.0,6.23
Television,230,86.99,3.58,4.86
Washing Machine,230,1315.79,2.99,4.57
Microwave Oven,230,926.49,0.21,2.45
Geyser,230,2186.04,0.96,8.13
Laptop/Computer,230,153.3,5.67,2.42
Iron,230,1406.42,0.24,2.18
Fan,230,77.03,7.61,20.82
Air Conditioner,230,1561.62,4.76,46.0
Refrigerator,230,422.61,24.0,8.93
LED Bulb,230,8.42,5.55,8.66
Television,230,121.27,3.51,3.35
Washing Machine,230,810.19,1.33,3.41
Microwave Oven,230,1107.86,0.19,2.52
Geyser,230,2389.71,0.66,9.94
Laptop/Computer,230,346.85,5.66,2.58
Iron,230,1358.71,0.18,2.13
Fan,230,82.14,7.48,19.0
Air Conditioner,230,1832.17,5.76,40.82
Refrigerator,230,992.71,29.2,9.36
LED Bulb,230,9.23,5.46,8.12
Television,230,142.78,3.86,3.62
Washing Machine,230,579.42,1.94,3.31
Microwave Oven,230,1117.8,0.22,2.98
Geyser,230,2653.34,0.81,9.43
Laptop/Computer,230,385.23,5.21,2.44
Iron,230,1247.08,0.25,2.59
Fan,230,78.88,7.08,20.39
Air Conditioner,230,1983.5,5.95,41.03
Refrigerator,230,710.14,24.0,9.83
LED Bulb,230,10.77,4.22,7.17
Television,230,61.56,4.03,4.9
Washing Machine,230,950.65,1.21,3.81
Microwave Oven,230,928.58,0.17,2.57
Geyser,230,4144.77,1.32,8.75
Laptop/Computer,230,212.75,4.44,2.91
Iron,230,1874.82,0.32,2.42
Fan,230,80.05,6.99,18.38
Air Conditioner,230,1673.64,5.74,44.74
Refrigerator,230,465.33,24.0,9.16
LED Bulb,230,11.09,4.82,9.79
Television,230,142.89,4.03,3.49
Washing Machine,230,698.17,1.71,4.88
Microwave Oven,230,1176.75,0.24,2.81
Geyser,230,2343.64,0.98,8.63
Laptop/Computer,230,229.27,4.22,2.22
Iron,230,1179.3,0.21,2.2
Fan,230,89.66,7.69,21.63
Air Conditioner,230,1725.06,4.76,42.95
Refrigerator,230,654.12,24.0,9.77
LED Bulb,230,9.04,5.4,6.03
Television,230,216.98,7.3,4.15
Washing Machine,230,787.86,1.91,3.6
Microwave Oven,230,847.04,0.21,2.9
Geyser,230,2019.54,0.88,8.82
Laptop/Computer,230,257.71,5.46,2.89
Iron,230,1418.76,0.18,2.63
Fan,230,80.7,6.82,22.52
Air Conditioner,230,1603.91,4.33,40.0
Refrigerator,230,1124.41,35.36,9.57
LED Bulb,230,10.3,5.14,7.56
Television,230,213.87,6.64,4.74
Washing Machine,230,518.07,1.66,3.72
Microwave Oven,230,1612.97,0.36,2.09
Geyser,230,4009.79,1.21,8.79
Laptop/Computer,230,321.9,5.6,2.65
Iron,230,1247.28,0.24,2.98
Fan,230,77.14,6.63,17.89
Air Conditioner,230,1989.86,5.97,43.03
Refrigerator,230,744.23,24.0,8.22
LED Bulb,230,10.53,4.62,7.71
Television,230,139.65,3.93,4.46
Washing Machine,230,549.93,1.16,3.54
Microwave Oven,230,1159.16,0.17,2.02
Geyser,230,2320.61,0.91,9.57
Laptop/Computer,230,220.86,5.33,2.31
Iron,230,1095.87,0.2,2.05
Fan,230,83.3,7.54,23.99
Air Conditioner,230,2478.62,7.22,49.81
Refrigerator,230,723.5,24.0,8.37
LED Bulb,230,10.69,4.51,6.29
Television,230,103.98,3.05,4.83
Washing Machine,230,815.18,1.97,3.48
Microwave Oven,230,1694.86,0.34,2.72
Geyser,230,3853.35,1.21,9.27
Laptop/Computer,230,590.07,8.53,2.71
Iron,230,1072.85,0.24,2.97
Fan,230,81.64,7.36,20.91
Air Conditioner,230,1917.2,4.57,46.13
Refrigerator,230,558.69,24.0,9.5
LED Bulb,230,9.07,5.62,6.67
Television,230,147.79,3.74,4.18
Washing Machine,230,966.92,1.3,4.52
Microwave Oven,230,887.16,0.2,2.33
Geyser,230,2337.23,0.89,9.31
Laptop/Computer,230,102.69,5.88,2.58
Iron,230,1223.22,0.17,2.37
Fan,230,88.32,6.31,17.57
Air Conditioner,230,1938.55,4.7,44.75
Refrigerator,230,582.02,24.0,8.46
LED Bulb,230,9.51,4.81,5.33
Television,230,84.13,3.19,3.28
Washing Machine,230,712.81,1.52,4.18
Microwave Oven,230,1140.62,0.16,2.91
Geyser,230,2187.01,0.89,9.34
Laptop/Computer,230,398.51,4.26,2.34
Iron,230,1075.76,0.16,2.02
Fan,230,75.46,7.51,21.9
Air Conditioner,230,1804.59,5.97,49.79
Refrigerator,230,1177.42,32.65,9.45
LED Bulb,230,11.29,5.77,8.72
Television,230,202.72,6.36,4.31
Washing Machine,230,710.17,1.3,4.94
Microwave Oven,230,958.74,0.18,2.6
Geyser,230,2679.19,0.81,8.73
Laptop/Computer,230,150.32,5.18,2.86
Iron,230,1241.59,0.2,2.07
Fan,230,85.51,6.01,16.93
Air Conditioner,230,2720.02,7.41,45.79
Refrigerator,230,349.63,24.0,8.39
LED Bulb,230,10.42,4.76,5.65
Television,230,209.89,6.35,4.25
Washing Machine,230,701.3,1.23,3.9
Microwave Oven,230,1118.28,0.17,2.39
Geyser,230,2426.27,0.97,8.7
Laptop/Computer,230,57.77,4.36,2.46
Iron,230,1470.92,0.21,2.3
Fan,230,79.11,7.01,19.67
Air Conditioner,230,1979.86,4.77,49.91
Refrigerator,230,653.01,24.0,9.9
LED Bulb,230,10.81,5.78,6.42
Television,230,149.78,4.27,3.07
Washing Machine,230,955.49,1.71,3.61
Microwave Oven,230,1137.73,0.19,2.35
Geyser,230,2089.49,0.79,9.92
Laptop/Computer,230,164.58,5.55,2.94
Iron,230,1095.55,0.18,2.17
Fan,230,81.73,7.08,19.34
Air Conditioner,230,1602.64,4.97,47.95
Refrigerator,230,408.08,24.0,9.3
LED Bulb,230,9.39,4.61,6.6
Television,230,103.91,3.88,3.29
Washing Machine,230,878.51,1.54,3.15
