Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%),Daily Energy Consumption (Wh)
Air Conditioner,230,1.2492242441279966,-0.12169062898020169,44.41,-0.15201888400525293
Refrigerator,230,-0.6635984993485368,2.6051673457182374,9.37,-1.728785141170433
LED Bulb,230,-0.9887148996454398,-0.1428838256747492,6.39,0.14127136736296617
Television,230,-0.8842338422209218,-0.09767167272638125,4.44,0.08636459845099251
Washing Machine,230,-0.3396154221606966,-0.5187098470580574,3.72,0.17616186368753256
Microwave Oven,230,-0.03317618670115159,-0.7574865298166253,2.2,0.025130514536803795
Geyser,230,2.2470812419646973,-0.674126622818072,9.29,-1.5148172888435003
Laptop/Computer,230,-0.6594052038450037,-0.1047360716245637,2.31,0.06906351065952034
Iron,230,1.2536782039466143,-0.7348804533424413,2.58,-0.9213036068618256
Fan,230,-0.9186981979675276,0.07611254016890781,16.07,-0.06992445349590666
Air Conditioner,230,1.2322017310298705,-0.05952391867619589,48.54,-0.07334547563048982
Refrigerator,230,-0.48754808758669016,2.6051673457182374,9.56,-1.2701443572482203
LED Bulb,230,-0.9860855900324137,-0.10332319184492723,7.82,0.10188551059443735
Television,230,-0.8838031794394778,-0.2643914867234879,3.62,0.2336700365829491
Washing Machine,230,0.5447845992277071,-0.38731202755186317,3.64,-0.2110016277059124
Microwave Oven,230,-0.08634037374729707,-0.7546607702573523,2.59,0.06515769295644289
Geyser,230,2.24479192928439,-0.6826039014958911,8.65,-1.5323037289760133
Laptop/Computer,230,-0.9180408705642712,0.04079054567799539,2.45,-0.03744738806501856
Iron,230,0.6023687463991981,-0.7560736500369889,2.59,-0.45543513675824704
Fan,230,-0.9188908628960685,0.1340406111340042,21.43,-0.12316869282804148
Air Conditioner,230,1.080563099037241,-0.09908455250601772,49.88,-0.10706711112262074
Refrigerator,230,-0.6986181834185834,2.6051673457182374,8.02,-1.8200172785670876
LED Bulb,230,-0.9884882350236274,-0.1273421480987477,5.48,0.12587621521824846
Television,230,-0.8430035475132098,-0.2149406944362105,3.9,0.18119576791467829
Washing Machine,230,-0.13594592623098462,-0.5582704808878792,4.79,0.07589459761171993
Microwave Oven,230,0.06790490139617743,-0.7574865298166253,2.05,-0.051437048116130556
Geyser,230,2.035829814435354,-0.7122743768682573,9.88,-1.4500694124867617
Laptop/Computer,230,-0.7308158929470633,-0.06376255801510529,2.72,0.0465986907723981
Iron,230,0.21162160485645656,-0.7518350106980793,2.72,-0.15910453155119875
Fan,230,-0.8536907844316739,0.8390676211726162,23.84,-0.7163042957100694
Air Conditioner,230,1.1024475682732473,-0.20787629553802806,49.56,-0.22917271651754992
Refrigerator,230,0.2967341703470881,3.3667095469423094,9.86,0.9990177642115471
LED Bulb,230,-0.9881142383976365,-0.18103157972493455,7.68,0.1788798815258247
Television,230,-0.790372022328324,0.1877300427601911,3.5,-0.14837657354815498
Washing Machine,230,-0.09205232221697456,-0.6303273496493406,4.12,0.05802309629209268
Microwave Oven,230,0.3082713995973493,-0.7631380489351713,2.51,-0.2352536344312357
Geyser,230,2.0472990442990717,-0.7066228577497116,9.36,-1.4466683013508634
Laptop/Computer,230,-0.9056876486754843,-0.2149406944362105,2.88,0.19466913214860726
Iron,230,0.35774095330794936,-0.7631380489351713,2.22,-0.27300573313163673
Fan,230,-0.9175195419341021,0.24848387328456054,24.31,-0.22798880959406145
Air Conditioner,230,0.7844257706390787,-0.08071711537074328,46.29,-0.06331658542845872
Refrigerator,230,-0.5167764905694249,2.6051673457182374,9.51,-1.3462892382663343
LED Bulb,230,-0.9873209122212925,0.022423108542720945,9.73,-0.0221388039812363
Television,230,-0.8919291061314596,-0.2658043665031244,4.28,0.23707865102097062
Washing Machine,230,-0.2419456366216471,-0.6388046283271596,3.51,0.15455599247746926
Microwave Oven,230,0.8025249406908149,-0.7348804533424413,2.31,-0.5897598922334819
Geyser,230,3.607250304537749,-0.6077212731751567,9.19,-2.1922027477351524
Laptop/Computer,230,-0.6512906103841124,-0.10756183118383676,2.49,0.0700540106857539
Iron,230,0.6103246746248203,-0.7560736500369889,2.9,-0.46145040445122554
Fan,230,-0.9044749929487871,0.244245233945651,20.65,-0.22091370625076753
Air Conditioner,230,1.0445120909379468,0.03655190633908599,48.33,0.0381789081180067
Refrigerator,230,-0.2904518656895436,2.6051673457182374,9.56,-0.7566757159973383
LED Bulb,230,-0.9903128852292188,-0.17396718082675208,5.42,0.17228194077973408
Television,230,-0.8890844651277114,-0.3477513937220412,3.98,0.3091803618847772
Washing Machine,230,-0.12814866324063118,-0.6204371911918851,4.2,0.07950819667601199
Microwave Oven,230,0.16836266178352197,-0.7588994095962618,2.5,-0.12777032462556992
Geyser,230,2.39032194971917,-0.657172065462434,8.5,-1.5708528128171393
Laptop/Computer,230,-0.8081538619095225,-0.10191031206529078,2.7,0.08235921226396935
Iron,230,1.4538570647004123,-0.7419448522406239,2.04,-1.0786817650481346
Fan,230,-0.9097902783302925,0.10860877510054731,19.47,-0.09881120772783908
Air Conditioner,230,0.7262069625265122,-0.1626641425896601,48.54,-0.11812783290201653
Refrigerator,230,0.2748950340354441,3.7114522131736143,9.08,1.020259782461285
LED Bulb,230,-0.988068905473274,0.022423108542720945,7.06,-0.022155576315114705
Television,230,-0.8685486503914899,-0.3279710768071302,4.67,0.2848588361282766
Washing Machine,230,0.5175735113791045,-0.37459610953513467,3.04,-0.1938810237610513
Microwave Oven,230,0.2818876376183626,-0.7574865298166253,2.39,-0.2135260884177399
Geyser,230,1.8298483393631535,-0.679778141936618,8.03,-1.2438909041580906
Laptop/Computer,230,-0.8102618428923798,0.016771589424174952,2.59,-0.013589378955066343
Iron,230,0.36955018010438595,-0.7560736500369889,2.84,-0.2794071535433497
Fan,230,-0.8631653656234406,0.6356129329049607,21.02,-0.5486390696258978
Air Conditioner,230,1.0649572398254434,-0.09625879294674478,41.96,-0.10251149844549418
Refrigerator,230,0.18799181803249307,3.9544675352710916,9.1,0.7434075413060844
LED Bulb,230,-0.9892702279688808,-0.05952391867619589,9.09,0.05888524059840143
Television,230,-0.8628140354596311,-0.28275892385876233,3.59,0.24396836815680129
Washing Machine,230,0.09887862196686929,-0.6204371911918851,3.11,-0.061347974482048616
Microwave Oven,230,0.06187562245596233,-0.7603122893758983,2.05,-0.047044796166051464
Geyser,230,2.0322711798728963,-0.6501076665642516,8.46,-1.321195074572947
Laptop/Computer,230,-0.624872848711854,-0.01996328484637394,2.66,0.012474514671599872
Iron,230,0.17716858234094146,-0.7603122893758983,2.4,-0.13470345044512355
Fan,230,-0.9010523571594168,0.3389081791812963,23.34,-0.30537401371191303
Air Conditioner,230,1.0694111996440612,-0.10332319184492723,40.97,-0.11049497854193711
Refrigerator,230,-0.18292216910164594,2.6051673457182374,9.29,-0.4765428617515575
LED Bulb,230,-0.9880122393178209,-0.0015958477110994938,6.9,0.0015767170706536297
Television,230,-0.7508417122842065,0.11849893355800283,3.27,-0.08897394217654325
Washing Machine,230,-0.07675246024462404,-0.6176114316326121,4.2,0.047403196853007395
Microwave Oven,230,0.1834698588273317,-0.7518350106980793,2.92,-0.13793906327422203
Geyser,230,1.6508626207488337,-0.6840167812755276,9.53,-1.1292177361726992
Laptop/Computer,230,-0.7069821079634685,-0.15277398413220458,2.52,0.10800847334376348
Iron,230,0.21382025168803884,-0.7532478904777158,2.7,-0.1610596535254295
Fan,230,-0.9028090079784644,0.1509951684896422,19.96,-0.13631979827367496
Air Conditioner,230,0.8077608934546858,-0.14994822457293164,41.34,-0.12112231185297513
Refrigerator,230,-0.5628347417217453,2.6051673457182374,8.62,-1.4662786901692488
LED Bulb,230,-0.9808609704996333,0.3940104905871196,9.62,-0.3864695121843188
Television,230,-0.9405713339724436,-0.19657325730093606,4.94,0.1848911708428498
Washing Machine,230,0.12419706022333665,-0.5568576011082428,3.21,-0.06916007702066321
Microwave Oven,230,0.3563016329594394,-0.7532478904777158,2.84,-0.2683834534004631
Geyser,230,4.0810360302815365,-0.5978311147177012,9.05,-2.439770319186313
Laptop/Computer,230,-0.9344060562591409,-0.1838573392842076,2.68,0.17179741131485524
Iron,230,0.6183372690058959,-0.7560736500369889,2.87,-0.4675085159311912
Fan,230,-0.9014150205543169,0.249896753064197,19.34,-0.2252606867998202
Air Conditioner,230,0.9299331246116775,-0.05669815911692283,42.94,-0.05272549626733012
Refrigerator,230,-0.40642481943996045,2.6051673457182374,8.48,-1.0588046680944156
LED Bulb,230,-0.9873435786834737,0.008294310746356025,5.79,-0.008189334455019952
Television,230,-0.8333703010861744,-0.3011263609940368,3.91,0.2509497661265845
Washing Machine,230,-0.38531100991811673,-0.5512060819896968,4.79,0.21238577212445833
Microwave Oven,230,0.27082640407390773,-0.7560736500369889,2.6,-0.20476470785455186
Geyser,230,3.585751165158824,-0.5978311147177012,9.78,-2.1436736161671957
Laptop/Computer,230,-0.7865073905264192,-0.1513611043525681,2.81,0.11904662721153537
Iron,230,0.3359244834584866,-0.7532478904777158,2.3,-0.2530344085249214
Fan,230,-0.9138589082918287,0.1665368460656437,24.63,-0.15219118033591347
Air Conditioner,230,1.1182800921068576,0.005468551187082966,48.82,0.006115371925182205
Refrigerator,230,0.23134142695415288,3.8809977867299943,8.95,0.8978355659880259
LED Bulb,230,-0.9878195743892801,-0.024201924185283465,9.15,0.02390713444810834
Television,230,-0.9237074861095862,-0.17679294038602514,3.89,0.1633049625258972
Washing Machine,230,-0.02614958342496106,-0.6317402294289771,3.09,0.016519743832357076
Microwave Oven,230,-0.040690118914239286,-0.7504221309184429,2.22,0.03053476574294828
Geyser,230,3.9571638144609507,-0.5851151967009727,9.72,-2.3153966836762905
Laptop/Computer,230,-0.7844107427746526,-0.04115648154092144,2.01,0.03228358625550547
Iron,230,0.18617850105799214,-0.7518350106980793,2.91,-0.13997551533468788
Fan,230,-0.9128842504180344,0.20044596077691965,18.43,-0.18298396065316103
Air Conditioner,230,1.7414491368562393,0.28945738689401895,48.84,0.5040753165632518
Refrigerator,230,-0.6368860736679218,2.6051673457182374,9.37,-1.6591948020623697
LED Bulb,230,-0.9863575875785888,-0.011486006168554887,7.84,0.011329309335328589
Television,230,-0.7823820944094299,0.23294219570855904,4.19,-0.18224980295479373
Washing Machine,230,-0.3159629688745518,-0.5582704808878792,4.61,0.17639279857635803
Microwave Oven,230,0.8853595267322296,-0.7362933331220779,2.3,-0.6518843169490588
Geyser,230,1.7971746341288672,-0.6896683003940736,8.55,-1.2394543754309968
Laptop/Computer,230,-0.6554272397321925,-0.13016790765802075,2.6,0.08531559241801147
Iron,230,0.42146771173056197,-0.7603122893758983,2.66,-0.32044708080388473
Fan,230,-0.8984910469329345,0.2979346655718379,18.82,-0.26769162958725434
Air Conditioner,230,0.7772291688965288,-0.0793042355911068,48.17,-0.06163756511845046
Refrigerator,230,-0.31731162337433666,2.6051673457182374,9.5,-0.8266498796316657
LED Bulb,230,-0.9908908800148409,-0.19233461796202653,8.78,0.1905826188497107
Television,230,-0.8465395156134864,-0.15277398413220458,3.72,0.12932921452561894
Washing Machine,230,-0.27959463030472004,-0.6246758305307947,3.68,0.17465600789755148
Microwave Oven,230,0.650988307778001,-0.7433577320202605,2.33,-0.4839171920415621
Geyser,230,2.2195981565699197,-0.6698879834791625,9.24,-1.4868821332386897
Laptop/Computer,230,-0.5460275600143409,0.03655190633908599,2.81,-0.019958348232203844
Iron,230,0.19563041578757773,-0.7560736500369889,2.88,-0.14791100252276768
Fan,230,-0.9172928773122895,0.06339662215217937,17.3,-0.05815326994585264
Air Conditioner,230,1.03863014400191,-0.12875502787838414,41.68,-0.13372885314629604
Refrigerator,230,0.2958388450909284,4.231391972079845,9.24,1.2518101141471274
LED Bulb,230,-0.9898368895234122,-0.21070205509730097,6.24,0.208560666833703
Television,230,-0.7766588127086618,0.10437013576163778,4.17,-0.08105998572287544
Washing Machine,230,-0.3013544339987296,-0.6218500709715217,3.21,0.18739727616969273
Microwave Oven,230,-0.03836680654066018,-0.7532478904777158,2.35,0.02889971609111891
Geyser,230,1.672123762274856,-0.7122743768682573,9.0,-1.191010910820929
Laptop/Computer,230,-0.6736170756326536,-0.000182967931463027,2.21,0.00012325032292668004
Iron,230,0.33892778969750365,-0.7603122893758983,2.08,-0.257690963718022
Fan,230,-0.9135189113591098,0.17925276408237215,18.4,-0.16375078990263994
Air Conditioner,230,0.7919737025454384,-0.12875502787838414,44.1,-0.10197059615018503
Refrigerator,230,-0.560364097343988,2.6051673457182374,8.63,-1.459842248113433
LED Bulb,230,-0.9897688901368685,-0.05669815911692283,8.75,0.056118074021960285
Television,230,-0.8758699176760368,-0.2643914867234879,4.44,0.2315725497107463
Washing Machine,230,-0.0762197983833644,-0.6444561474457056,3.19,0.04912031762523144
Microwave Oven,230,0.020826659445700394,-0.7588994095962618,2.45,-0.015805339557204437
Geyser,230,2.1788665240301954,-0.645869027225342,9.66,-1.4072624023292446
Laptop/Computer,230,-0.5956671121913004,-0.20222477641948206,2.12,0.12045864858332427
Iron,230,0.4115398012951701,-0.7631380489351713,2.71,-0.3140616810195642
Fan,230,-0.9065603074694628,0.2230520372511035,15.56,-0.20221012347205047
Air Conditioner,230,1.238253676432267,-0.15983838303038717,46.77,-0.19792046542236577
Refrigerator,230,-0.10864417253365688,2.6051673457182374,8.61,-0.2830362505872611
LED Bulb,230,-0.9903695513846719,0.04926782435581444,7.38,-0.04879335310496676
Television,230,-0.7511703759858349,0.0831769390670904,4.99,-0.06248005259237717
Washing Machine,230,-0.25196421290576404,-0.5384901639729683,3.99,0.13568025032294478
Microwave Oven,230,0.039220493505792924,-0.7574865298166253,2.09,-0.029708995523398573
Geyser,230,1.9373667027199608,-0.6727137430384356,8.57,-1.3032932062247768
Laptop/Computer,230,-0.4020728587011585,0.3332566600627503,2.81,-0.1339934579926302
Iron,230,0.4800151835447567,-0.7560736500369889,2.9,-0.3629268318958594
Fan,230,-0.9077616299650697,0.1721883651841897,20.47,-0.1563059910406207
Air Conditioner,230,0.8985060747973606,0.030900387220539997,45.37,0.027764185631245913
Refrigerator,230,-0.35760125990152647,2.6051673457182374,8.17,-0.9316111250831572
LED Bulb,230,-0.9874682442254706,-0.1315807874376572,7.13,0.12993184914486822
Television,230,-0.8813552015239018,-0.29264908231621783,3.94,0.2579277909205951
Washing Machine,230,-0.14573783789328892,-0.5300128852951493,4.19,0.07724293195849881
Microwave Oven,230,0.9046146863552099,-0.7405319724609873,2.81,-0.669896098003801
Geyser,230,2.2885155348320407,-0.6642364643606165,8.1,-1.5201154674911799
Laptop/Computer,230,-0.5697140129937577,-0.17538006060638855,2.67,0.09991647812715405
Iron,230,0.6025840777899202,-0.7518350106980793,2.5,-0.4530438065716769
Fan,230,-0.8989330429454689,0.11567317399872977,23.04,-0.10398243828983884
Air Conditioner,230,1.889381802282233,0.432158244637305,43.52,0.8165119231239575
Refrigerator,230,-0.786666055761688,2.6051673457182374,8.36,-2.0493967204553116
LED Bulb,230,-0.9888622316496182,-0.1273421480987477,5.16,0.12592384075198382
Television,230,-0.8663273370977264,-0.20222477641948206,4.86,0.17519285205067298
Washing Machine,230,0.6472143418248213,-0.42687266138168506,4.96,-0.2762781085791571
Microwave Oven,230,0.354658314451298,-0.7560736500369889,2.24,-0.26814780632315904
Geyser,230,1.6933622373386963,-0.7066228577497116,8.68,-1.1965684633537148
Laptop/Computer,230,-0.38093638271713354,0.3487983376387517,2.96,-0.13286997703785547
Iron,230,0.3662182101637407,-0.7617251691555349,2.82,-0.2789576280848126
Fan,230,-0.9047243240327809,0.10860877510054731,16.13,-0.09826100063687099
Air Conditioner,230,1.2190891826580115,-0.1485353447932952,48.15,-0.18107783207988415
Refrigerator,230,-0.332770150581956,2.6051673457182374,8.18,-0.8669219299258526
LED Bulb,230,-0.9882275707085428,-0.06376255801510529,9.42,0.06301191780943002
Television,230,-0.8714272910885098,-0.3180809183496748,4.34,0.27718439302440256
Washing Machine,230,-0.1811541850515077,-0.6246758305307947,3.7,0.11316264100117984
Microwave Oven,230,-0.05584264888241162,-0.7518350106980793,2.62,0.04198445851991703
Geyser,230,1.6669898085908004,-0.702384218410802,8.26,-1.1708673338058218
Laptop/Computer,230,-0.588300511982391,0.02807462766126694,2.53,-0.016516317826838336
Iron,230,0.2393426881041376,-0.7546607702573523,2.12,-0.18062253736013373
Fan,230,-0.9169075474552082,0.061983742372542894,23.04,-0.05683336120090377
Air Conditioner,230,0.7276689493372037,-0.2149406944362105,44.41,-0.15640566929020625
Refrigerator,230,-0.47135290035817984,2.6051673457182374,9.21,-1.2279531843227123
LED Bulb,230,-0.9866295851247641,-0.10897471096347323,8.58,0.10751767386698267
Television,230,-0.8467661802352989,-0.12310350875983815,3.21,0.10423988788613081
Washing Machine,230,-0.38880164509403087,-0.5229484863969668,4.47,0.2033232318105741
Microwave Oven,230,0.053591030528711725,-0.7560736500369889,2.7,-0.04051876606108678
Geyser,230,2.2651350790920715,-0.702384218410802,9.68,-1.5909951321229747
Laptop/Computer,230,-0.8267063612048838,-0.13581942677656672,2.27,0.11228278409138864
Iron,230,0.2505172539594989,-0.7560736500369889,2.17,-0.18940949459840165
Fan,230,-0.9145502353883571,0.10013149642272826,22.08,-0.09157528362319456
Air Conditioner,230,1.1313586407854446,-0.042569361320557914,41.83,-0.04816121476273088
Refrigerator,230,-0.21796451963387403,2.6051673457182374,9.37,-0.5678340490753303
LED Bulb,230,-0.9887035664143492,0.0012299118481735654,8.73,-0.0012160182306644677
Television,230,-0.8289163412675566,-0.3449256341627682,3.47,0.28591449467959357
Washing Machine,230,0.037894505468189135,-0.6133727922937027,3.41,-0.023243458631612153
Microwave Oven,230,0.21841021027974394,-0.7603122893758983,2.04,-0.16605996700086348
Geyser,230,3.3789650306791885,-0.5893538360398822,9.49,-1.9914060026753981
Laptop/Computer,230,-0.7731455110705665,-0.21352781465657403,2.45,0.16508807139043813
Iron,230,0.6092140179779388,-0.7617251691555349,2.04,-0.4640536508961685
Fan,230,-0.9047696569571434,0.20751035967510212,23.66,-0.1877490769382956
Air Conditioner,230,0.9865652803715556,-0.09908455250601772,46.26,-0.09775337932358949
Refrigerator,230,-0.40584682465433836,2.6051673457182374,8.54,-1.0572988949529176
LED Bulb,230,-0.9899502218343186,-0.05952391867619589,8.5,0.05892571649794806
Television,230,-0.8687186488578494,-0.3548157926202237,3.0,0.30823509595846765
Washing Machine,230,0.0794307974153481,-0.5780507978027902,3.78,-0.04591503581605378
Microwave Oven,230,0.21862554167046597,-0.7546607702573523,2.74,-0.16498811967496474
Geyser,230,1.6673751384478819,-0.696732699292256,9.53,-1.1617147809435917
Laptop/Computer,230,-0.6605838598784292,-0.03691784220201192,2.11,0.024387330700187802
Iron,230,0.3001794725986396,-0.7617251691555349,2.2,-0.228654259542218
Fan,230,-0.9107196032797241,0.22022627769183056,16.24,-0.2005643882512743
Air Conditioner,230,1.2661107584530356,-0.14712246501365872,41.8,-0.18627333576392363
Refrigerator,230,0.343019086121221,3.998266808439823,8.82,1.3714818266998392
LED Bulb,230,-0.9867202509734889,-0.08778151426892573,5.47,0.0866157977902673
Television,230,-0.9337147291626124,-0.14994822457293164,4.73,0.14000886589552944
Washing Machine,230,-0.3089250323672705,-0.6289144698697041,4.58,0.1942874229607431
Microwave Oven,230,0.23297341223120366,-0.7574865298166253,2.56,-0.1764742215705526
Geyser,230,3.59377509277099,-0.5794636775824268,9.14,-2.0824621316612046
Laptop/Computer,230,-0.5591854413105625,-0.13864518633583967,2.09,0.07752836970679167
Iron,230,0.29071622463796337,-0.7617251691555349,2.7,-0.22144586538861114
Fan,230,-0.9010750236215981,0.20185884055655612,17.05,-0.1818899595227272
Air Conditioner,230,1.0573639749947212,-0.08495575470965279,48.44,-0.08982915449847498
Refrigerator,230,-0.14224720271737484,2.6051673457182374,8.97,-0.37057776753906746
LED Bulb,230,-0.9887488993387118,-0.16407702236929658,9.85,0.16223097527441518
Television,230,-0.9045316591042402,-0.2262437326733025,3.58,0.2046446188769185
Washing Machine,230,0.09283800979556345,-0.5879409562602458,4.4,-0.05458326825650164
Microwave Oven,230,0.35275433162807207,-0.7631380489351713,2.38,-0.26920025239207734
Geyser,230,1.3219495880365695,-0.6642364643606165,8.67,-0.8780871204203844
Laptop/Computer,230,-0.9218261697485415,-0.11886486942092875,2.06,0.10957274729595529
Iron,230,0.36199091496693564,-0.7617251691555349,2.01,-0.2757375909359559
Fan,230,-0.9184715333457151,0.30641194424965695,24.35,-0.2814306482704242
Air Conditioner,230,1.8598700685222327,0.34173393874056934,46.28,0.6355807240617952
Refrigerator,230,-0.6436860123222998,2.6051673457182374,9.76,-1.6769097801976425
LED Bulb,230,-0.9876722423851019,-0.1047360716245637,5.03,0.10344491072003947
Television,230,-0.7596136331483542,0.13686637069327726,3.16,-0.10396556109814976
Washing Machine,230,-0.13664858655860368,-0.6020697540566107,4.46,0.08227198090152199
Microwave Oven,230,-0.039987458586620346,-0.7504221309184429,2.19,0.030007473882584627
Geyser,230,1.538867631111228,-0.6783652621569816,8.7,-1.0439143440036613
